Acc_date,Customer,Department,Sum,Payment_date,Exec_date,Responsible,Payment_time,Exec_time,month
2024-10-23,АСН,ОЭЗиС,285151.13,2024-12-04,2024-11-29,Кузьмин,42.0,37.0,2024-10
2024-10-23,АСН,ОСС,38440.0,2024-10-24,2024-10-25,Мишин,1.0,2.0,2024-10
2024-10-24,АСН,ВИК,39500.0,2024-11-22,2024-10-24,Яблоков,29.0,0.0,2024-10
2024-10-24,АМС ОП АМВО,ОЭЗиС,5000.0,2024-10-28,2024-10-24,Кузьмин,4.0,0.0,2024-10
2024-10-25,ААВ,ВИК,32500.0,2024-10-28,2024-10-28,Яблоков,3.0,3.0,2024-10
2024-10-28,АСН,ВИК,28200.0,2024-11-22,2024-11-14,Яблоков,25.0,17.0,2024-10
2024-10-28,Поликлиника,ОЭЗиС,98990.16,2024-10-28,2024-10-28,Кузьмин,0.0,0.0,2024-10
2024-10-29,Сити,ОСС,11200.0,2024-10-30,2024-10-29,Мишин,1.0,0.0,2024-10
2024-10-30,Сибгипробум,ОСС,56692.06,2024-10-30,2024-10-30,Мишин,0.0,0.0,2024-10
2024-11-06,АМС ОП АМВО,ОЭЗиС,10450.0,2024-11-06,2024-11-06,Басов,0.0,0.0,2024-11
2024-11-06,АМС,ОЭЗиС,4950.0,2024-11-06,2024-11-06,Басов,0.0,0.0,2024-11
2024-11-07,АСН ОП АСЯ,ВИК,118635.4,2024-11-10,2024-11-14,Яблоков,3.0,7.0,2024-11
2024-11-07,АМС,ОСС,60431.25,2024-11-14,2024-11-29,Мишин,7.0,22.0,2024-11
2024-11-08,Бизнес-центр,ОЭЗиС,23680.0,2024-11-12,2024-11-29,Басов,4.0,21.0,2024-11
2024-11-12,Бизнес-центр,ОЭЗиС,33920.0,2024-11-13,2024-11-12,Басов,1.0,0.0,2024-11
2024-11-15,АМС ОП АМВО,ОЭЗиС,20400.0,2024-12-04,2024-12-02,Яблоков,19.0,17.0,2024-11
2024-11-15,АСН ОП АСЯ,ОЭЗиС,42000.0,2024-11-14,2025-03-18,Кузьмин,-1.0,123.0,2024-11
2024-11-15,АСН,ОЭЗиС,42000.0,2024-11-14,2025-03-18,Кузьмин,-1.0,123.0,2024-11
2024-11-25,АСН,ОСС,12500.0,2024-11-27,2024-11-29,Мишин,2.0,4.0,2024-11
2024-11-25,АСН,ОЭЗиС,51600.0,2024-12-06,2024-12-02,Яблоков,11.0,7.0,2024-11
2024-11-25,АСН ОП АСЯ,ОСС,38900.88,2024-11-26,2024-12-04,Мишин,1.0,9.0,2024-11
2024-11-25,Бизнес-центр,ОЭЗиС,11401.51,2024-11-27,2024-12-04,Басов,2.0,9.0,2024-11
2024-11-25,Бизнес-центр,ОЭЗиС,12465.04,2024-11-27,2024-11-29,Басов,2.0,4.0,2024-11
2024-11-25,Сервер,ОСС,2500.0,2024-11-26,2024-12-11,Мишин,1.0,16.0,2024-11
2024-11-25,Фабрика,ОСС,957055.0,2024-12-02,2024-11-22,Мишин,7.0,-3.0,2024-11
2024-11-26,Сервер,ОСС,44750.0,2024-11-28,2024-12-11,Мишин,2.0,15.0,2024-11
2024-11-28,АМС,ОЭЗиС,24000.0,2024-11-29,2024-12-19,Кузьмин,1.0,21.0,2024-11
2024-12-02,АМС,ВИК,56000.0,2024-12-06,2024-12-02,Яблоков,4.0,0.0,2024-12
2024-12-02,АСН ОП АСЯ,ОЭЗиС,37130.34,2024-12-02,2024-12-25,Яблоков,0.0,23.0,2024-12
2024-12-02,АСН,ОЭЗиС,46346.16,2024-12-05,2024-12-04,Басов,3.0,2.0,2024-12
2024-12-03,Бизнес-центр,ОСС,30000.0,2024-12-09,2024-12-19,Мишин,6.0,16.0,2024-12
2024-12-05,АМС,ОЭЗиС,248366.77,2024-12-09,2024-12-20,Кузьмин,4.0,15.0,2024-12
2024-12-05,ВП-СТОУН,ВИК,12800.0,2024-12-06,2024-12-25,Яблоков,1.0,20.0,2024-12
2024-12-06,Бизнес-центр,ОЭЗиС,44800.0,2024-12-09,,Басов,3.0,,2024-12
2024-12-06,Бизнес-центр,ОЭЗиС,220000.0,2024-12-09,2024-12-23,Басов,3.0,17.0,2024-12
2024-12-09,Сервер,ВИК,39000.0,2024-12-09,2025-01-15,Яблоков,0.0,37.0,2024-12
2024-12-09,Сервер,ВИК,41800.0,2024-12-09,2025-01-24,Яблоков,0.0,46.0,2024-12
2024-12-09,Сервер,ОСС,44750.0,2024-12-09,2024-12-19,Мишин,0.0,10.0,2024-12
2024-12-09,АМС,ОСС,16692.5,2024-12-10,2024-12-19,Мишин,1.0,10.0,2024-12
2024-12-10,Сервер,ОСС,5000.0,2024-12-24,2024-12-11,Мишин,14.0,1.0,2024-12
2024-12-11,Юнилид,ОЭЗиС,29000.0,2024-12-16,2024-12-17,Яблоков,5.0,6.0,2024-12
2024-12-09,АМС,ОЭЗиС,29688.0,2024-12-16,2025-03-05,Кузьмин,7.0,86.0,2024-12
2024-12-16,АМС ОП АМВО,ОЭЗиС,528000.0,2024-12-18,,Кузьмин,2.0,,2024-12
2024-12-18,Апарт-отель,ВИК,51849.4,2025-01-16,2025-01-10,Яблоков,29.0,23.0,2024-12
2024-12-18,Мельница,ВИК,13980.0,2024-12-20,2024-12-25,Яблоков,2.0,7.0,2024-12
